-29, 30, -5
-16, -27, -17
0, -32, -11
-19, 0, 6
-15, -14, -5
-10, 1, 15
-18, -21, 9
-17, -43, 21
-19, 4, 17
-8, -27, -7
-11, -11, 4
-2, -44, -9
-7, -33, 26
-250, -1, 8
22, -21, -13
-5, 24, -16
-7, -4, 7
-24, -16, 9
-248, -30, 16
-27, -14, -21
0, -15, 31
-1, -48, 25
-35, -4, 19
-19, -20, -4
8, -18, 16
5, -22, -6
12, -26, 2
-17, -12, 28
-13, -4, 5
-3, -36, -19
-28, -52, 19
-10, -6, 5
-8, -18, 14
-18, -30, 0
-28, -84, -4
-16, -11, 4
-15, -54, 27
-29, -35, 3
-22, -11, -4
-13, -30, -12
-22, -19, 20
13, -14, 8
5, -47, 29
15, -34, -10
-16, -9, 11
-35, 3, 5
-9, -48, 8
-25, 2, -20
-25, -29, -4
1, -35, 6
19, -64, 13
-10, 7, 23
-21, 9, 8
9, -56, 14
-4, -28, -40
-53, -3, -14
22, -11, 10
30, -28, 8
-11, -9, 11
6, -35, 8
15, -41, 221
-32, -2, 10
16, -38, 5
-24, -22, 28
-10, -35, -9
-8, 11, 254
3, -13, 32
-4, -35, -2
-24, -19, 24
2, -18, 3
-7, -19, 1
-3, -24, 5
17, -39, 12
-4, 10, -5
-49, -7, -201
8, -22, -8
-1, -6, -5
-4, -15, 10
-16, -10, -5
-28, -4, -13
-13, -5, -1
22, -60, 21
-22, -25, -13
7, -48, 22
5, -45, 31
-21, -39, -1
-30, -13, 23
-21, -32, 50
-7, -26, 33
22, -28, 19
-12, -33, 5
-35, -27, 20
236, -29, 9
-16, -49, 29
5, -5, -20
-13, -20, 14
-15, -70, -9
-10, -35, -8
-10, -1, -31
-1, -27, 26
-21, 5, 43
-11, -33, 26
-13, -40, 26
3, -46, 10
11, -34, -22
-9, -15, -3
-5, -39, -29
-17, 34, 28
-5, -253, -13
-32, -21, 16
-48, 1, 8
-25, -6, 0
6, -14, 15
13, -26, 31
-4, -14, 248
-25, -49, 23
-30, -8, 27
-25, -9, -1
-34, -46, -19
-22, -20, -4
3, -44, 8
6, 13, -19
2, -13, 22
-15, -53, 39
19, 4, -3
1, -31, -25
3, -40, 35
-1, -41, 28
-10, -11, 246
-29, -20, 2
-7, 13, 16
-11, -17, 4
10, -4, 15
-21, 17, 24
0, -39, 3
-1, -29, 2
-10, -22, 53
5, -20, 1
1, -13, -11
-18, -11, 4
-6, -26, 5
-1, -2, 15
-8, -8, -9
-17, -21, 34
-6, -24, 29
-8, -33, -248
6, -11, 26
15, -20, 3
-6, -38, -13
5, -19, 18
14, -48, -5
10, -31, -6
-10, -1, 25
13, -21, -16
-25, -47, 18
-10, -31, -10
-2, -50, 5
-20, -12, 15
-1, -21, 0
-37, -9, 2
-17, -19, 1
-14, -3, 48
11, -64, -5
22, -23, -253
-9, 10, 30
-1, -18, 4
31, 3, -8
8, -31, 5
18, -16, -29
-9, -30, 25
